image_url,game_id,current_club_name,season,name,position,name,sub_position,country_of_citizenship,goals,assists,minutes_played,market_value_in_eur,yellow_cards,red_cards
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698187,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698190,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698215,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,1,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698219,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698231,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698232,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698245,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,1,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698256,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,1,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698262,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,45,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698285,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698286,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698298,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,83,1500000,1,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698304,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698311,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,1,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698318,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698320,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698321,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698355,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698359,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698365,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,86,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698370,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698385,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,90,1500000,0,0
https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,2698394,Brighton & Hove Albion,2016,James Milner,Midfield,premier-league,Central Midfield,,0,0,82,1500000,0,0
